metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.41186,0.4065,0.2803,0.12341,0.04311,24.83224,1.48487,1,1764665797,,False,1,476b5_00019,2025-12-02_16-56-37,164.21785521507263,164.21785521507263,35551,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,164.21785521507263,1
0.60467,0.52198,0.53148,0.20686,0.04669,8.46402,1.47809,2,1764665830,,False,2,476b5_00019,2025-12-02_16-57-10,31.599188089370728,195.81704330444336,35551,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,195.81704330444336,2
0.61625,0.55075,0.57641,0.2414,0.04378,8.20948,1.38023,3,1764665862,,False,3,476b5_00019,2025-12-02_16-57-42,32.175594091415405,227.99263739585876,35551,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,227.99263739585876,3
0.70273,0.56296,0.62386,0.27797,0.04226,7.65451,1.36073,4,1764665894,,False,4,476b5_00019,2025-12-02_16-58-14,32.063538789749146,260.0561761856079,35551,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,260.0561761856079,4
0.65484,0.60228,0.62308,0.29455,0.04149,7.63248,1.33727,5,1764665926,,False,5,476b5_00019,2025-12-02_16-58-46,32.14580297470093,292.20197916030884,35551,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,292.20197916030884,5
0.66765,0.60056,0.62351,0.28098,0.04342,7.63632,1.38787,6,1764665958,,False,6,476b5_00019,2025-12-02_16-59-18,32.25224781036377,324.4542269706726,35551,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,324.4542269706726,6
0.69415,0.57738,0.62254,0.28578,0.04185,7.71067,1.38813,7,1764665990,,False,7,476b5_00019,2025-12-02_16-59-50,31.61563515663147,356.0698621273041,35551,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,356.0698621273041,7
0.74286,0.63733,0.69889,0.31106,0.04359,7.09728,1.39354,8,1764666021,,False,8,476b5_00019,2025-12-02_17-00-21,31.40756130218506,387.47742342948914,35551,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,387.47742342948914,8
0.77108,0.62121,0.70299,0.32694,0.04179,6.95895,1.38402,9,1764666053,,False,9,476b5_00019,2025-12-02_17-00-53,31.573325157165527,419.05074858665466,35551,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,419.05074858665466,9
0.75128,0.60263,0.67743,0.29471,0.04469,7.69757,1.38568,10,1764666085,,True,10,476b5_00019,2025-12-02_17-01-25,31.41946291923523,450.4702115058899,35551,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,450.4702115058899,10
